match_id,game_date,game_duration_min,champion,position,win,kills,deaths,assists,kda,cs,cs_per_min,gold,gold_per_min,damage,damage_per_min,vision_score,double_kills,triple_kills,quadra_kills,penta_kills,game_mode
KR_8356213007,2026-08-26 14:46:54.209,27.85,Sona,UTILITY,1,5,3,23,9.33,16,0.57,10622,381.4,16695,599.46,77,0,0,0,0,CLASSIC
KR_8353574744,2026-08-24 11:25:57.697,30.58,Sona,UTILITY,1,0,6,13,2.17,18,0.59,8943,292.41,11777,385.08,73,0,0,0,0,CLASSIC
KR_8353528793,2026-08-24 10:52:27.213,23.65,Galio,MIDDLE,0,4,2,8,6.0,206,8.71,9544,403.55,14382,608.12,14,0,0,0,0,CLASSIC
KR_8352754665,2026-08-23 14:20:46.403,28.2,Tristana,MIDDLE,1,8,7,5,1.86,223,7.91,14149,501.74,26101,925.57,39,1,0,0,0,CLASSIC
KR_8352678896,2026-08-23 13:42:49.697,31.47,Orianna,MIDDLE,0,10,6,9,3.17,248,7.88,14960,475.42,33152,1053.56,26,1,0,0,0,CLASSIC
KR_8352620075,2026-08-23 13:06:47.470,30.85,TwistedFate,MIDDLE,0,2,11,15,1.55,226,7.33,12522,405.9,21068,682.92,21,0,0,0,0,CLASSIC
KR_8350968635,2026-08-22 13:22:15.455,30.9,Pantheon,TOP,0,8,8,4,1.5,201,6.5,12743,412.39,25909,838.48,17,1,0,0,0,CLASSIC
KR_8350769947,2026-08-22 11:44:12.903,29.03,Orianna,MIDDLE,1,3,1,8,11.0,252,8.68,12256,422.14,19903,685.52,29,0,0,0,0,CLASSIC
KR_8350425239,2026-08-22 07:40:28.472,34.12,TwistedFate,MIDDLE,0,3,6,7,1.67,249,7.3,14279,418.53,28360,831.27,34,0,0,0,0,CLASSIC
KR_8349544035,2026-08-21 14:27:36.766,30.1,TwistedFate,MIDDLE,1,3,9,8,1.22,214,7.11,12407,412.19,20933,695.45,34,0,0,0,0,CLASSIC
KR_8349438133,2026-08-21 13:36:10.746,32.53,Tristana,MIDDLE,1,7,4,13,5.0,258,7.93,15908,488.98,32008,983.85,31,0,0,0,0,CLASSIC
KR_8349319669,2026-08-21 12:41:29.350,34.55,TwistedFate,MIDDLE,0,10,8,10,2.5,216,6.25,16026,463.85,29121,842.87,40,0,0,0,0,CLASSIC
KR_8346255446,2026-08-18 15:06:36.232,38.17,TwistedFate,MIDDLE,1,6,9,14,2.22,254,6.66,15637,409.7,30267,793.02,29,0,0,0,0,CLASSIC
KR_8346210196,2026-08-18 14:30:28.180,29.48,Tristana,MIDDLE,0,2,4,3,1.25,290,9.84,12799,434.11,13026,441.81,29,0,0,0,0,CLASSIC
KR_8346140574,2026-08-18 13:56:22.330,29.58,TwistedFate,MIDDLE,1,10,7,22,4.57,177,5.98,15705,530.87,31041,1049.27,22,1,0,0,0,CLASSIC
KR_8345136643,2026-08-17 15:19:05.089,38.72,Locke,MIDDLE,1,19,9,8,3.0,285,7.36,22327,576.68,50242,1297.68,42,4,1,0,0,CLASSIC
KR_8345092375,2026-08-17 14:47:04.285,25.13,TwistedFate,MIDDLE,1,3,2,12,7.5,205,8.16,12505,497.55,16050,638.59,20,0,0,0,0,CLASSIC
KR_8335247417,2026-08-10 12:49:29.487,21.47,Zeri,BOTTOM,0,1,8,7,1.0,189,8.8,9975,464.67,20834,970.53,13,0,0,0,0,CLASSIC
KR_8335182729,2026-08-10 12:17:38.572,26.02,Katarina,MIDDLE,0,1,13,4,0.38,125,4.8,6967,267.79,15028,577.63,14,0,0,0,0,CLASSIC
KR_8332625601,2026-08-08 14:51:19.416,37.78,Maokai,MIDDLE,0,3,8,11,1.75,268,7.09,12630,334.27,26758,708.2,27,0,0,0,0,CLASSIC
KR_8332517141,2026-08-08 13:55:55.769,27.68,TwistedFate,MIDDLE,1,3,4,21,6.0,191,6.9,11818,426.9,22518,813.41,22,0,0,0,0,CLASSIC
KR_8332438878,2026-08-08 13:26:49.526,24.5,Hecarim,JUNGLE,0,6,9,6,1.33,137,5.59,9716,396.57,12375,505.1,18,1,0,0,0,CLASSIC
KR_8331889407,2026-08-08 07:27:39.328,39.1,TwistedFate,MIDDLE,0,15,17,18,1.94,203,5.19,20146,515.24,50745,1297.83,27,0,0,0,0,CLASSIC
KR_8331820784,2026-08-08 06:46:28.125,34.55,Hwei,MIDDLE,0,9,5,10,3.8,249,7.21,14273,413.11,44884,1299.1,31,0,0,0,0,CLASSIC
KR_8331692653,2026-08-08 05:06:27.962,16.75,TwistedFate,MIDDLE,0,6,5,3,1.8,122,7.28,8719,520.54,10599,632.78,5,0,0,0,0,CLASSIC
KR_8331660494,2026-08-08 04:31:43.201,26.12,TwistedFate,MIDDLE,1,7,8,13,2.5,153,5.86,11248,430.68,20967,802.82,19,1,0,0,0,CLASSIC
